topic number 	note 	terms
0 	ms 	 ms, multiple, sclerosis, diagnosis, tysabri, pain, therapist, aetna, leg
1 	house furnishings 	 outdoor, furniture, wirecutter, coffee, bed, adjustable, shade, chair, clean, best
2 	video games 	 stardew, minecraft, hades, switch, games, game, xbox, steam, pong, wii
3 	proper nouns? 	 greg, mark, julia, martin, ashley, matt, john, haart, hamilton, erin
4 	data viz 	 d3, svg, observable, data, linear, chart, plot, scale, gradient, miro
5 	programming 	 astro, github, js, uswds, latest, node, git, vite, prettier, gem
6 	clothes 	 womens, pants, shoes, comfortable, nike, fashion, clothes, women
7 	united digital twin project 	 digital, twin, united, twins, airlines, airline, baggage, bag, airport, customer
8 	design + years = design practice weekly assignments? 	 design, inventions, 2000, 1920, history, products, 1940, methods, 1980, 1960
9 	home buying 	 estate, real, home, house, buying, cash, trust, moving, closing, homeowners
10 	section 230 paper 	 230, section, internet, created, repeal, words, wikipedia, 1996, liability, archive
11 	cooking 	 vegan, breakfast, pancakes, recipes, savory, meals, oatmeal, cookies, easy, healthy
12 	 income tax filing paper	 tax, income, taxes, filing, license, irs, state, plates, federal, file
13 	 watching/listening stuff	 bsg, youtube, watch, movie, podcast, mummy, movies, maintenance, galactica, battlestar
14 	 art/design	 art, crafts, arts, russian, bauhaus, movement, eberhard, iliad, elfriede, constructivist
15 	 misc addresses and foursight?	 ave, foursight, 538, milwaukee, st, road, 200
16 	jobs/internships 	 internship, jobs, time, internships, design, chicago, summer, office, city, benefits
17 	civic tech + antitrust? 	 tech, civic, innovation, competition, anti, technology, trust, competitive, conference, market
18 	food systems (BUC + systems projects) 	 food, supply, chain, future, agriculture, transparency, sustainability, regulation, systems, sustainable
19 	words bertopic doesn't quite know what to do with? 	 aritzia, torani, arya, bhavan, dimos, basant, ravinia, 5es, oclif, ulta
20 	museums (pmur) + film + national geographic? 	 museum, msi, science, industry, museums, field, chicago, film, geographic, 
21 	 	 iit, calendar, mppa, id, mdes, kaplan, library, academic, mdn, hours
22 	 	 css, color, sheets, blue, text, google, 85, colors, sheet, illustrator
23 	 	 cocktails, fruit, cocktail, falernum, syrup, alcohol, pear, rye, tea, passionfruit
24 	 	 figma, inches, feet, pdf, inch, export, snap, 64, height, radio
25 	 	 tv, gas, fireplace, brick, room, living, mount, natural, grill, exposed
26 	 	 chicago, wazwan, mastodon, collectivo, wrigleyville, uniuni, hash, rooh, realty
27 	 	 paper, hang, picture, rail, wall, art, article, wallpaper, snowflake, origami
28 	 	 vegan, vegetarian, chicago, pizza, belize, chinese, chinatown, seoul, delivery, meals
29 	 	 night, chi, bird, allbirds, hack, hawks, passport, lyrics, music, chihacknight
30 	 	 days, 28, 2022, july, day, year, 16, march, presidents, 2020
31 	 	 embroidery, gifts, sewing, machine, wedding, patterns, brother, 1034d, pattern, christmas
32 	 	 climate, change, midwest, energy, hurricanes, equity, renewables, audit, projected, investments
33 	 	 algorithms, algorithm, algorithmic, influence, examples, genetic, people, bias, fda, influences
34 	 	 cta, dmca, reduced, cops, fare, transit, cra, rta, ariel, attendant
35 	 	 covid, vaccine, test, pcr, isolating, negative, home, testing, sinus, transmission
36 	 	 map, maps, google, locator, journey, stakeholder, regions, mellow, inequality, census
37 	 	 gsa, ds9, dscout, att, dst, gs, recruit, developer, edx, tts
38 	 	 ventra, vending, machines, ticket, machine, concert, tickets, template, pay, cheesecake
39 	 	 cats, cat, calcium, persian, tent, soup, diet, catit, hypercalcemia, hypercalcimia
40 	 	 I'm just redacting this whole topic 
41 	 	 pool, athletic, club, gym, midtown, gyms, cleaner, thompson
42 	 	 mac, usb, apple, imac, thunderbolt, buff, macbook, monitor, iasip, magsafe
43 	 	 bar, diner, chicago, cider, bars, queen, weekend, sup, subway, galway
44 	 	 diners, club, card, credit, cornucopia, cards, modell, board, history, diner
45 	 	 disability, accessibility, studies, uic, blind, flying, justice, phd
46 	 	 watch, apple, case, strap, series, mini, iphone, best, women, apps
47 	 	 blinds, energy, kwh, savings, smart, dashboard, app, analogies, saving, dashboards
48 	 	 waste, food, household, reasons, friendly, environmentally, compost, zero, index, diagram
49 	 	 insurance, health, school, grad, dropping, individual, kids, graduate, plans, aca
50 	 	 park, wicker, impression, chengdu, jurrasic, cider, popup, wi, buns
51 	 	 transparency, algorithmic, algorithms, policy, collection, understanding, timeline, rise, technical, mean
